Pristine Match Counts,Pristine Keypoint Counts,B1.1 Match Counts,B1.1 Keypoint Counts,B1.2 Match Counts,B1.2 Keypoint Counts,B1.3 Match Counts,B1.3 Keypoint Counts,B1.4 Match Counts,B1.4 Keypoint Counts,B1.5 Match Counts,B1.5 Keypoint Counts,B2.1 Match Counts,B2.1 Keypoint Counts,B2.2 Match Counts,B2.2 Keypoint Counts,B2.3 Match Counts,B2.3 Keypoint Counts,B2.4 Match Counts,B2.4 Keypoint Counts,B2.5 Match Counts,B2.5 Keypoint Counts
61,881,2,487,9,1400,5,1372,3,673,9,933,4,1073,4,1096,5,842,6,853,7,2113
11,933,3,1384,3,1058,5,1121,1,1016,11,305,4,445,8,2084,3,150,11,433,10,179
4,306,2,598,1,881,8,586,3,240,8,884,6,499,7,564,2,307,6,381,5,538
2,884,1,306,8,315,10,320,5,846,11,1181,2,804,3,315,4,698,17,1056,6,315
9,846,2,278,5,1104,2,790,7,392,9,1053,5,227,7,1028,3,372,6,186,3,1154
6,659,5,659,5,738,3,575,2,944,7,1120,5,982,8,1779,5,854,8,871,9,1714
3,1104,5,644,1,234,8,1016,5,1212,5,197,4,957,7,1363,5,517,17,103,12,433
4,790,2,783,4,,8,1077,3,267,0,626,3,246,9,,1,172,8,154,1,58
5,575,14,925,2,,8,256,2,517,3,,5,642,4,,3,280,2,1115,2,
2,944,5,,3,,4,,3,,0,,3,1283,9,,6,,5,,2,
7,1181,8,,4,,13,,4,,2,,2,,4,,3,,0,,1,
8,1016,5,,0,,6,,3,,2,,3,,11,,2,,3,,1,
3,1212,7,,6,,15,,2,,7,,0,,0,,4,,3,,3,
9,1053,9,,10,,11,,4,,7,,4,,1,,5,,4,,2,
5,925,8,,3,,11,,7,,8,,3,,3,,5,,3,,1,
16,1120,4,,1,,4,,2,,6,,2,,2,,6,,0,,0,
11,,3,,1,,5,,1,,5,,3,,4,,5,,3,,2,
11,,1,,3,,2,,1,,7,,4,,4,,0,,0,,4,
7,,4,,21,,6,,0,,6,,1,,5,,0,,3,,13,
5,,2,,3,,3,,3,,15,,1,,5,,1,,2,,1,
8,,4,,5,,3,,0,,4,,5,,1,,6,,1,,7,
9,,1,,,,1,,8,,5,,0,,,,3,,8,,7,
13,,0,,,,1,,4,,19,,3,,,,2,,4,,5,
8,,1,,,,2,,5,,3,,3,,,,5,,1,,4,
14,,4,,,,1,,8,,2,,8,,,,5,,7,,20,
12,,4,,,,1,,4,,4,,3,,,,8,,6,,10,
11,,2,,,,5,,2,,7,,5,,,,2,,2,,8,
11,,2,,,,7,,2,,1,,4,,,,3,,8,,1,
9,,5,,,,4,,4,,,,0,,,,8,,8,,,
2,,4,,,,5,,4,,,,4,,,,5,,1,,,
6,,3,,,,2,,5,,,,5,,,,3,,3,,,
0,,4,,,,2,,3,,,,5,,,,5,,5,,,
0,,7,,,,2,,4,,,,2,,,,10,,4,,,
7,,6,,,,7,,8,,,,9,,,,4,,8,,,
0,,12,,,,14,,7,,,,1,,,,2,,2,,,
5,,3,,,,12,,1,,,,6,,,,3,,0,,,
1,,,,,,,,,,,,7,,,,,,,,,
1,,,,,,,,,,,,3,,,,,,,,,
2,,,,,,,,,,,,2,,,,,,,,,
3,,,,,,,,,,,,4,,,,,,,,,
4,,,,,,,,,,,,4,,,,,,,,,
1,,,,,,,,,,,,1,,,,,,,,,
65,,,,,,,,,,,,2,,,,,,,,,
7,,,,,,,,,,,,2,,,,,,,,,
4,,,,,,,,,,,,17,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,
108,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,
